"","p_cal"
"425",0.218640779155331
"426",0.84109873692092
"427",0.730084783845247
"428",0.0834193802375028
"429",0.583672818202895
"430",0.438801842615134
"431",0.691640496787005
"432",0.0168273995355758
"433",0.324088410090864
"434",0.742777831665008
"435",0.918221646698802
"436",0.0986644345916913
"437",0.605924638546988
"438",0.497291812388392
"439",0.863251919286495
"440",0.191288979088889
"441",0.279619914113569
"442",0.623363991367811
"443",0.359018507436199
"444",0.289921484576487
"445",0.678187726424117
"446",0.412241677093782
"447",0.895704734325456
"448",0.355105830077355
"449",0.0249431240656306
"450",0.209284439156159
"451",0.728254127555818
"452",0.892804460821197
"453",0.387899699577285
"454",0.769266221597619
"455",0.592513589227538
"456",0.0264455049957793
"457",0.0235954514031062
"458",0.463517796008321
"459",0.937469954471438
"460",0.878304200038888
"461",0.32815404116427
"462",0.551129931944994
"463",0.435534083060491
"464",0.356289559044878
"465",0.860812457593849
"466",0.616839462487933
"467",0.065888033197051
"468",0.716483087418544
"469",0.415568093664994
"470",0.194397771122023
"471",0.0129011764693497
"472",0.272986456892383
"473",0.702485364126907
"474",0.209440608234254
"475",0.889131031123953
"476",0.109540001530095
"477",0.0204676435922428
"478",0.0479737755253986
"479",0.598351525379086
"480",0.309165612804255
"481",0.749210179817216
"482",0.183241027837513
"483",0.0212888818753856
"484",0.905442961673449
"485",0.414243032117412
"486",0.674438164842126
"487",0.521634442089581
"488",0.200734063005753
"489",0.244449157163604
"490",0.210689050100347
"491",0.178476350217615
"492",0.152460926112055
"493",0.107934166062191
"494",0.307587681193294
"495",0.892689023352196
"496",0.432238031069586
"497",0.869751146894743
"498",0.0637840710446811
"499",0.303708111900231
"500",0.173103287433089
"501",0.247326722492063
"502",0.594865791322424
"503",0.917571202554607
"504",0.956007861834693
"505",0.467027118482265
"506",0.760183804718915
"507",0.431979060555969
"508",0.957297025796908
"509",0.0850825841979977
"510",0.649726845454209
"511",0.61847242673688
"512",0.217497410282075
"513",0.0740513300293756
"514",0.223919451837697
"515",0.799974628388373
"516",0.075693210282783
"517",0.911049026024108
"518",0.036994301252102
"519",0.553176128831948
"520",0.450265498904018
"521",0.0812105358890174
"522",0.388482183318822
"523",0.706460119170425
"524",0.801554536376803
"525",0.799842867841053
"526",0.112386014214405
"527",0.0292002987585699
"528",0.159090987285985
"529",0.603896267008478
"530",0.605495487421707
"531",0.565979152741864
"532",0.6531377820822
"533",0.0698039979797648
"534",0.289660737691342
"535",0.78921578643808
"536",0.195743995784762
"537",0.935024093428598
"538",0.858141573206773
"539",0.961326294081638
"540",0.694129619663579
"541",0.218331803286711
