hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
17,1.6253665052352326,35.18674982161098,,2196.062961428951,2369.7061867679827,0.04032258064516129,0.0,474.07608229701276,0.26380368098159507,0.15950920245398773,40
18,1.9478534824772575,35.43390619154819,113.47216583724367,2065.913393033811,2265.0444950565197,0.06422018348623854,0.0,458.9044781846444,0.2803030303030303,0.13636363636363635,40
19,2.1182034219996146,41.460901851117974,,1997.870455955775,2482.696529558179,0.07079646017699115,0.0,432.5371485400962,0.20833333333333334,0.125,40
20,1.7345136237955423,65.00560640117435,,2864.1549008662937,3341.037525520192,0.09803921568627451,0.0,352.62843039328027,0.17829457364341086,0.06201550387596899,40
21,0.8009594743289474,73.33839851272508,,2234.083983418538,2920.0915867218573,0.14666666666666667,0.0,465.57254405837114,0.32323232323232326,0.1111111111111111,40
22,1.751612659987967,119.39381426990415,,2300.9831567447113,3105.7901164948294,0.05,0.0,501.2142849649572,0.4,0.0875,40
23,1.2782860578661377,113.96648087073245,,1931.4607424780545,1402.8215769165754,0.17307692307692307,0.0,389.970094514128,0.42105263157894735,0.10526315789473684,40
0,2.2575139170759506,128.08056947159554,,1356.2126967745278,1582.774068626662,0.13157894736842105,0.0,446.169074885217,0.391304347826087,0.13043478260869565,41
1,0.0,136.4630633315089,,1323.5467051965272,1271.856178911733,0.14285714285714285,0.0,295.8775602461386,0.3,0.05,41
2,1.073213328887238,110.30217897993181,134.6413849573064,1317.188883069825,1189.6770012827042,0.12,0.0,416.02700207534923,0.4482758620689655,0.13793103448275862,41
3,0.0,54.44103649923131,,1283.0523175195128,1501.5344248959477,0.16666666666666666,0.0,345.66431092806164,0.2608695652173913,0.13043478260869565,41
4,0.416555626934124,58.48138846102819,,1169.1440171442355,1326.865312839529,0.1,0.0,221.4143065881541,0.2727272727272727,0.045454545454545456,41
