day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Fri,4.4567780495815,53.367835983624055,,2184.98480580073,2416.3547517788065,0.09293680297397769,0.018518518518518517,533.08594940207,0.3475783475783476,0.15954415954415954,9
Mon,3.7252589092370454,16.951765768546352,,,,0.12811387900355872,0.06808510638297872,104.79197047973466,0.05571847507331378,0.0,9
Sat,2.1371883302806176,19.46699634713593,,2154.3546641629914,2448.3011652493965,0.1322314049586777,0.01951219512195122,451.9336721262726,0.2354948805460751,0.13993174061433447,9
Sun,2.040554419837603,25.07516111263871,,2230.5898423155795,2402.150885069358,0.10843373493975904,0.059113300492610835,214.80957323644836,0.13442622950819672,0.04262295081967213,9
Thu,3.0976343438920235,58.307479252313136,,1764.3424768782686,1929.9468838916412,0.07420494699646643,0.016736401673640166,416.5668170146129,0.35492957746478876,0.1323943661971831,9
Tue,3.302442271298244,36.3657132177359,,1197.5026666892124,1409.8870529186183,0.0888030888030888,0.024390243902439025,373.5109039329639,0.29357798165137616,0.1743119266055046,9
Wed,3.7907984557568155,39.2332285752318,62.567695681241275,1550.2965209433355,1769.3253851975965,0.12830188679245283,0.018691588785046728,428.4610282874992,0.3286118980169972,0.1558073654390935,9
Fri,2.926863903818858,101.24575792690568,,550.9678682314575,732.2631872922666,0.11326860841423948,0.015444015444015444,288.04176018670466,0.40664961636828645,0.06905370843989769,10
Mon,8.347233188895972,21.77054975460838,76.79534364179199,658.4180797362243,753.9035737349792,0.10181818181818182,0.06550218340611354,133.05980107057985,0.0872093023255814,0.00872093023255814,10
Sat,2.159925976810163,44.75593064779308,110.76347336310482,824.510927166046,1032.6301491626339,0.08536585365853659,0.020202020202020204,324.57513590343416,0.3069620253164557,0.15822784810126583,10
Sun,2.7413723561706393,26.623955143966867,,943.1957986874091,1366.8846153074999,0.0912863070539419,0.019704433497536946,300.1660869057245,0.2169811320754717,0.11949685534591195,10
Thu,4.428868875026687,66.44944167705107,,441.2422887607805,583.9669350019392,0.09961685823754789,0.018691588785046728,247.55293733093086,0.34492753623188405,0.06666666666666667,10
Tue,6.28855992536461,85.84445582946884,151.56280579115446,232.38939621709727,482.6356013958666,0.07636363636363637,0.025974025974025976,265.5014018752736,0.3712737127371274,0.04336043360433604,10
Wed,3.173709322904549,73.65657880641163,,263.78108735382796,555.687636346698,0.06201550387596899,0.01834862385321101,262.46409978851267,0.37168141592920356,0.09144542772861357,10
Fri,4.41517126754537,32.23287200731843,78.35313167866389,1079.194880716753,1248.1052583081005,0.09349593495934959,0.019417475728155338,289.86392302808974,0.26608187134502925,0.1286549707602339,11
Mon,5.289294311659625,23.92566777809005,,941.612830835825,1214.1594798629721,0.07722007722007722,0.04,127.0144846814808,0.08787878787878788,0.00909090909090909,11
Sat,1.6877714714049712,20.626106676683616,,1049.447850151776,1222.6648684821935,0.1187214611872146,0.021621621621621623,276.70274425008336,0.24381625441696114,0.12367491166077739,11
Sun,4.639326918794216,26.85795423851968,,932.3946346676745,1346.0970173283847,0.13901345291479822,0.03932584269662921,338.25979384125804,0.2560553633217993,0.1453287197231834,11
Thu,6.676471875530864,24.472540154597123,72.50046070515782,1039.6793651406467,1256.4114890698763,0.1018867924528302,0.01762114537444934,288.4204524466995,0.2417910447761194,0.12835820895522387,11
